"","result","team","side","topwr_champ","jngwr_champ","midwr_champ","adcwr_champ","supwr_champ","topwr_player","jngwr_player","midwr_player","adcwr_player","supwr_player"
"50",1,"Young Generation","Red",0.5,0.4694,0.5217,0.4878,0.5026,0.5,0.333333333333333,1,0.333333333333333,0.333333333333333
"51",0,"Hong Kong Attitude","Blue",0.4302,0.4688,0.4504,0.4878,0.5181,0.75,0.5,0.526315789473684,0.384615384615385,0.666666666666667
"52",1,"Fenerbahce Esports","Red",0.5698,0.5312,0.5496,0.5122,0.4819,0.586206896551724,0.5,0.5,0.615384615384615,0.692307692307692
"53",1,"Cloud9","Blue",0.4851,0.4778,0.5073,0.4809,0.4616,0.571428571428571,0.563227810019254,0.704545454545455,0.6,0.5
"54",0,"Lyon Gaming","Red",0.5149,0.5222,0.4927,0.5191,0.5384,0.75,0,0.5,0.333333333333333,0.714285714285714
"55",0,"Lyon Gaming","Blue",0.5,0.5204,0.5073,0.4925,0.4813,0.545454545454545,0.5,0.25,0.875,0.25
"56",1,"Cloud9","Red",0.5,0.4796,0.4927,0.5075,0.5187,0.670798317069138,0.563227810019254,0.777777777777778,0.555555555555556,0.625
"57",1,"Cloud9","Blue",0.5,0.4798,0.4808,0.5165,0.5187,0.651162790697674,0.563227810019254,0.704545454545455,0.636363636363636,0.625
"58",0,"Lyon Gaming","Red",0.5,0.5202,0.5192,0.4835,0.4813,0.549772727272727,0,0.5,0.333333333333333,0.25
"59",1,"Fnatic","Blue",0.5347,0.4737,0.4708,0.4912,0.5289,0.571428571428571,0.75,0.5,0.75,0.75
"60",0,"Hong Kong Attitude","Red",0.4653,0.5263,0.5292,0.5088,0.4711,0.714285714285714,0.5,0.571428571428571,0.625,0.25
"61",1,"Fnatic","Blue",0.4721,0.5222,0.4749,0.4912,0.4392,0.58974358974359,0.375,0.5,0.75,0.666666666666667
"62",0,"Hong Kong Attitude","Red",0.5279,0.4778,0.5251,0.5088,0.5608,0.777777777777778,0.5,0.8,0.625,0
"63",1,"Fnatic","Blue",0.5,0.4778,0.4733,0.4948,0.4457,0.75,0.75,0.714285714285714,0.581395348837209,0.833333333333333
"64",0,"Hong Kong Attitude","Red",0.5,0.5222,0.5267,0.5052,0.5543,0.450963718820862,0,0.375,0.5,0.5
"65",1,"Fenerbahce Esports","Blue",0.5347,0.4778,0.4882,0.4786,0.4775,0.586206896551724,0.636363636363636,0.818181818181818,0.833333333333333,1
"66",0,"Team oNe Esports","Red",0.4653,0.5222,0.5118,0.5214,0.5225,0.5,0.5,0,0,0.714285714285714
"67",1,"Team oNe Esports","Blue",0.5,0.4907,0.4875,0.4925,0.5293,0.5,0.5,1,0.75,0.714285714285714
"68",0,"Fenerbahce Esports","Red",0.5,0.5093,0.5125,0.5075,0.4707,0.561742350535454,0,0.8,0.666666666666667,0.5
"69",1,"Fenerbahce Esports","Blue",0.5,0.5462,0.4973,0.5165,0.5318,0.571428571428571,0.636363636363636,0.636363636363636,1,0.5
"70",0,"Team oNe Esports","Red",0.5,0.4538,0.5027,0.4835,0.4682,0.5,0.5,0.5,0.625,0.578947368421053
"71",1,"Fenerbahce Esports","Blue",0.5391,0.4895,0.5161,0.5009,0.5662,0.875,0.636363636363636,0.666666666666667,1,0.75
"72",0,"Team oNe Esports","Red",0.4609,0.5105,0.4839,0.4991,0.4338,0.5,0.5,0.666666666666667,0.625,0.4
"73",1,"Team WE","Blue",0.5,0.5475,0.4875,0.5111,0.5124,0.571428571428571,0.642857142857143,0.8,0.666666666666667,0.25
"74",0,"Young Generation","Red",0.5,0.4525,0.5125,0.4889,0.4876,0.5,0.333333333333333,0.5,0.333333333333333,0.333333333333333
"75",0,"Young Generation","Blue",0.5,0.492,0.5072,0.4878,0.4813,0.5,0.333333333333333,0,0.333333333333333,0.333333333333333
"76",1,"Team WE","Red",0.5,0.508,0.4928,0.5122,0.5187,0.69047619047619,0.666666666666667,0.65625,0.533333333333333,1
"77",1,"Team WE","Blue",0.5698,0.4954,0.5087,0.4912,0.5543,0.69047619047619,0.596491228070175,0.8,0.619047619047619,0.52
"78",0,"Young Generation","Red",0.4302,0.5046,0.4913,0.5088,0.4457,0.5,0.333333333333333,0,0,0.5
"79",1,"Royal Never Give Up","Blue",0.5,0.4966,0.4214,0.5009,0.5187,0.5,0.5,0.695652173913043,0.5,0.833333333333333
"80",0,"Fenerbahce Esports","Red",0.5,0.5034,0.5786,0.4991,0.4813,0.586206896551724,0.5,0.636363636363636,0.615384615384615,0.692307692307692
"81",0,"G2 Esports","Blue",0.5,0.5778,0.4729,0.5075,0.4962,0.6,0.75,0.5,0.333333333333333,0.575757575757576
"82",1,"Samsung Galaxy","Red",0.5,0.4222,0.5271,0.4925,0.5038,0.51147809689081,0.627450980392157,0.695652173913043,0.714285714285714,0.5
"83",1,"Longzhu Gaming","Blue",0.5391,0.5,0.5667,0.5122,0.4959,0.777777777777778,0.620673076923077,0.7,0.5,0.545454545454545
"84",0,"Immortals","Red",0.4609,0.5,0.4333,0.4878,0.5041,0.44,0,0.526315789473684,0.388888888888889,0.514285714285714
"85",0,"Fnatic","Blue",0.5698,0.4974,0.4397,0.4878,0.4392,0.571428571428571,0.625,0.666666666666667,0.666666666666667,0.666666666666667
"86",1,"Gigabyte Marines","Red",0.4302,0.5026,0.5603,0.5122,0.5608,0.5,1,0.833333333333333,0.5,0.5
"87",1,"SK Telecom T1","Blue",0.535,0.5093,0.5546,0.5009,0.5187,0.777777777777778,0.7,0.846153846153846,0.571428571428571,0.5
"88",0,"Cloud9","Red",0.465,0.4907,0.4454,0.4991,0.4813,0.736842105263158,0.563227810019254,0.5,0.625,0.5
"89",0,"EDward Gaming","Blue",0.5,0.5222,0.4836,0.482,0.4813,0.285714285714286,0.615384615384615,0.5,0.75,0.777777777777778
"90",1,"AHQ e-Sports Club","Red",0.5,0.4778,0.5164,0.518,0.5187,0.641506550820276,0.709090909090909,0.75,0.5,0.769230769230769
"91",0,"Flash Wolves","Blue",0.5,0.5222,0.4928,0.4878,0.5124,0.732382792860734,0.5,0.733333333333333,0.777777777777778,0.5
"92",1,"Team SoloMid","Red",0.5,0.4778,0.5072,0.5122,0.4876,0.510427920615177,0.659090909090909,0.5,0.5,0.68
"93",1,"Team WE","Blue",0.5,0.5204,0.4766,0.4912,0.5187,0.69047619047619,0.642857142857143,0.558823529411765,0.619047619047619,1
"94",0,"Misfits","Red",0.5,0.4796,0.5234,0.5088,0.4813,0.459576138147567,0.459576138147567,0.459576138147567,0.5,0.459576138147567
"95",1,"Immortals","Blue",0.5,0.4954,0.5667,0.482,0.5187,0.333333333333333,0.660714285714286,0.727272727272727,0.727272727272727,0.615384615384615
"96",0,"Fnatic","Red",0.5,0.5046,0.4333,0.518,0.4813,0.586954962671087,0.470588235294118,0.666666666666667,0.611111111111111,0.444444444444444
"97",1,"Longzhu Gaming","Blue",0.5167,0.5,0.5052,0.4912,0.52,0.777777777777778,0.846153846153846,0.6,0.5,0.8
"98",0,"Gigabyte Marines","Red",0.4833,0.5,0.4948,0.5088,0.48,0.5,0.55958485958486,0,0.5,0
"99",0,"AHQ e-Sports Club","Blue",0.535,0.4989,0.5546,0.4992,0.4813,0.648148148148148,0.454545454545455,0.6,0.5,0.625
"100",1,"Cloud9","Red",0.465,0.5011,0.4454,0.5008,0.5187,0.736842105263158,0,0.5,0.555555555555556,0.625
"101",0,"EDward Gaming","Blue",0.5,0.4907,0.4543,0.4738,0.5543,0.583333333333333,0.795454545454545,0.5,0.333333333333333,0.5
"102",1,"SK Telecom T1","Red",0.5,0.5093,0.5457,0.5262,0.4457,0.627173449355918,0.7,0.66,0.791666666666667,0.5
"103",1,"Team SoloMid","Blue",0.5,0.4778,0.4928,0.5088,0.4503,0.510427920615177,0.659090909090909,0.5,0.5,0.875
"104",0,"Team WE","Red",0.5,0.5222,0.5072,0.4912,0.5497,0.576923076923077,0.4,0.461538461538462,0.619047619047619,0.25
"105",0,"Flash Wolves","Blue",0.5,0.4778,0.4825,0.522,0.4813,0.732382792860734,0.857142857142857,0.733333333333333,0,0.5
"106",1,"Misfits","Red",0.5,0.5222,0.5175,0.478,0.5187,0.5,0.459576138147567,0.459576138147567,0.5,0.459576138147567
"107",1,"G2 Esports","Blue",0.5,0.4778,0.4454,0.4991,0.4813,0.666666666666667,0.692307692307692,0.5,0.529411764705882,0.592592592592593
"108",0,"Fenerbahce Esports","Red",0.5,0.5222,0.5546,0.5009,0.5187,0.561742350535454,0,0.529411764705882,0.75,0.5
"109",0,"Samsung Galaxy","Blue",0.5698,0.4796,0.4214,0.5165,0.4457,0.603174603174603,0.75,0.6,0.666666666666667,0.75
"110",1,"Royal Never Give Up","Red",0.4302,0.5204,0.5786,0.4835,0.5543,0.5,0.5,0.619047619047619,0.636363636363636,0.833333333333333
"111",1,"SK Telecom T1","Blue",0.5,0.5222,0.5702,0.5262,0.4813,0.627173449355918,0.4,0.9,0.791666666666667,0.5
"112",0,"AHQ e-Sports Club","Red",0.5,0.4778,0.4298,0.4738,0.5187,0.648148148148148,0.709090909090909,0.785714285714286,0.5,0.769230769230769
"113",1,"Cloud9","Blue",0.5,0.4606,0.5156,0.5075,0.5293,0.651162790697674,0.563227810019254,0.777777777777778,0.555555555555556,0.5
"114",0,"EDward Gaming","Red",0.5,0.5394,0.4844,0.4925,0.4707,0.703648743040803,0.5,0.5,0.8,0.571428571428571
"115",1,"Team WE","Blue",0.5279,0.4525,0.4453,0.5165,0.5249,0.571428571428571,0.596491228070175,0.8,0.428571428571429,1
"116",0,"Flash Wolves","Red",0.4721,0.5475,0.5547,0.4835,0.4751,0.538461538461538,0.666666666666667,0.642857142857143,0.571428571428571,0.5
"117",1,"Misfits","Blue",0.517,0.4778,0.5027,0.5008,0.5135,0.583333333333333,0.5,0.459576138147567,0.5,0.459576138147567
"118",0,"Team SoloMid","Red",0.483,0.5222,0.4973,0.4992,0.4865,0.510427920615177,0.375,0.5,0.5,0.6
"119",0,"Gigabyte Marines","Blue",0.5,0.5202,0.4214,0.4992,0.5293,0.5,0.333333333333333,0,0.5,0.5
"120",1,"Immortals","Red",0.5,0.4798,0.5786,0.5008,0.4707,0.631578947368421,0.660714285714286,0.75,0.571428571428571,1
"121",0,"Fnatic","Blue",0.4844,0.5222,0.5283,0.5122,0.4457,0.571428571428571,0.375,0.714285714285714,0.62962962962963,0.833333333333333
"122",1,"Longzhu Gaming","Red",0.5156,0.4778,0.4717,0.4878,0.5543,1,0.846153846153846,0.818181818181818,0.5,0.714285714285714
"123",0,"Fenerbahce Esports","Blue",0.5,0.4945,0.5496,0.4912,0.5187,0.561742350535454,0,0.5,0.666666666666667,0.5
"124",1,"Samsung Galaxy","Red",0.5,0.5055,0.4504,0.5088,0.4813,0.5,1,0.833333333333333,0.461538461538462,0.769230769230769
"125",1,"Royal Never Give Up","Blue",0.5208,0.4935,0.603,0.5165,0.5187,0.5,0.5,0.5,0.666666666666667,0.833333333333333
"126",0,"G2 Esports","Red",0.4792,0.5065,0.397,0.4835,0.4813,0.6,0.6,0.5,0.529411764705882,0.592592592592593
"127",0,"Immortals","Blue",0.4689,0.4798,0.4214,0.5048,0.5187,0.631578947368421,0.660714285714286,0.526315789473684,0.727272727272727,0.615384615384615
"128",1,"Gigabyte Marines","Red",0.5311,0.5202,0.5786,0.4952,0.4813,0.5,0.333333333333333,0.416666666666667,0.5,0.666666666666667
"129",1,"Longzhu Gaming","Blue",0.5297,0.4935,0.4214,0.482,0.4604,0.916666666666667,1,0.6,0.5,0.357142857142857
"130",0,"Fnatic","Red",0.4703,0.5065,0.5786,0.518,0.5396,0.363636363636364,0.714285714285714,0.714285714285714,0.611111111111111,0
"131",1,"Fnatic","Blue",0.465,0.5028,0.4656,0.4912,0.5187,0.416666666666667,0.714285714285714,0.5,0.75,0.75
"132",0,"Immortals","Red",0.535,0.4972,0.5344,0.5088,0.4813,0.44,0,0.428571428571429,0.625,0.461538461538462
"133",0,"Gigabyte Marines","Blue",0.4386,0.5016,0.5786,0.5075,0.5597,0.5,0,0.416666666666667,0.5,0
"134",1,"Longzhu Gaming","Red",0.5614,0.4984,0.4214,0.4925,0.4403,0.777777777777778,0.846153846153846,0.6,0.5,0.8
"135",0,"Gigabyte Marines","Blue",0.5,0.4883,0.4928,0.4738,0.5293,0.5,0.333333333333333,0,0.5,0.666666666666667
"136",1,"Fnatic","Red",0.5,0.5117,0.5072,0.5262,0.4707,0.586954962671087,0.714285714285714,0.714285714285714,0.611111111111111,0.833333333333333
"137",0,"Immortals","Blue",0.5,0.4796,0.4729,0.5122,0.4813,0.468201519912046,0.555555555555556,0.625,0.625,0.461538461538462
"138",1,"Longzhu Gaming","Red",0.5,0.5204,0.5271,0.4878,0.5187,1,0.333333333333333,0.7,0.5,0.714285714285714
"139",1,"Fnatic","Blue",0.5,0.5028,0.6417,0.4835,0.5187,0.586954962671087,0.714285714285714,0.75,0.62962962962963,0.75
"140",0,"Immortals","Red",0.5,0.4972,0.3583,0.5165,0.4813,0,0,0.526315789473684,0.666666666666667,0.461538461538462
"141",0,"Gigabyte Marines","Blue",0.5208,0.5257,0.5073,0.5103,0.4707,0.5,0,0.384615384615385,0.5,0
"142",1,"Fnatic","Red",0.4792,0.4743,0.4927,0.4897,0.5293,0.695652173913043,0.625,0.714285714285714,0.581395348837209,0.444444444444444
"143",1,"G2 Esports","Blue",0.5,0.4935,0.4928,0.4991,0.4813,0.51294282277269,1,0.5,0.529411764705882,0.592592592592593
"144",0,"Royal Never Give Up","Red",0.5,0.5065,0.5072,0.5009,0.5187,0.5,0.5,0.619047619047619,0.5,0.833333333333333
"145",1,"Samsung Galaxy","Blue",0.5,0.5,0.541,0.4912,0.5543,0.51147809689081,0.663404678375084,1,1,0.75
"146",0,"Fenerbahce Esports","Red",0.5,0.5,0.459,0.5088,0.4457,0.666666666666667,0.692307692307692,0,0.615384615384615,0.5
"147",1,"Samsung Galaxy","Blue",0.5,0.5,0.5657,0.518,0.4813,0.51147809689081,0.663404678375084,1,0.666666666666667,0.769230769230769
"148",0,"G2 Esports","Red",0.5,0.5,0.4343,0.482,0.5187,0.666666666666667,0.2,0.5,0.444444444444444,0.538461538461538
"149",0,"Fenerbahce Esports","Blue",0.5,0.4778,0.5283,0.5046,0.4707,0.586206896551724,0.636363636363636,0.636363636363636,0.615384615384615,0.5
"150",1,"Royal Never Give Up","Red",0.5,0.5222,0.4717,0.4954,0.5293,0.5,0.5,0.555555555555556,0.625,0.727272727272727
"151",0,"Fenerbahce Esports","Blue",0.5,0.4796,0.5021,0.5122,0.4813,0.586206896551724,0,0.818181818181818,0.615384615384615,0.692307692307692
"152",1,"G2 Esports","Red",0.5,0.5204,0.4979,0.4878,0.5187,0.51294282277269,0.833333333333333,0.5,0.7,0.538461538461538
"153",1,"Royal Never Give Up","Blue",0.5174,0.4665,0.4717,0.5122,0.5187,0.5,0.5,0.555555555555556,0.636363636363636,0.833333333333333
"154",0,"Samsung Galaxy","Red",0.4826,0.5335,0.5283,0.4878,0.4813,0.583333333333333,0.75,0.833333333333333,0.714285714285714,0.769230769230769
"155",1,"Misfits","Blue",0.5,0.4525,0.5546,0.4912,0.4975,0.459576138147567,0.5,0.459576138147567,0.5,0.459576138147567
"156",0,"Flash Wolves","Red",0.5,0.5475,0.4454,0.5088,0.5025,0.538461538461538,0.666666666666667,0.708333333333333,0.571428571428571,0.5
"157",1,"Team WE","Blue",0.5,0.4796,0.603,0.4656,0.5187,0.571428571428571,0.4,0.8,0.444444444444444,1
"158",0,"Team SoloMid","Red",0.5,0.5204,0.397,0.5344,0.4813,0.510427920615177,0.636363636363636,0.5,0.5,0.68
"159",0,"Flash Wolves","Blue",0.5,0.5475,0.5175,0.5025,0.4813,0.538461538461538,0.666666666666667,0.428571428571429,0.666666666666667,0.5
"160",1,"Team WE","Red",0.5,0.4525,0.4825,0.4975,0.5187,0.581536056536057,0.596491228070175,0.65625,0.444444444444444,1
"161",1,"Team SoloMid","Blue",0.4385,0.4796,0.5546,0.5262,0.4924,0.510427920615177,0.375,0.5,0.5,0.875
"162",0,"Misfits","Red",0.5615,0.5204,0.4454,0.4738,0.5076,0,0.666666666666667,0.459576138147567,0.5,0.459576138147567
"163",0,"Team SoloMid","Blue",0.5,0.4778,0.5092,0.4991,0.4813,0.510427920615177,0.659090909090909,0.5,0.5,0.68
"164",1,"Flash Wolves","Red",0.5,0.5222,0.4908,0.5009,0.5187,0.888888888888889,0.5,0.733333333333333,1,0.5
"165",0,"Misfits","Blue",0.5,0.5065,0.561,0.4889,0.5187,0.5,0.459576138147567,0.459576138147567,0.5,0.459576138147567
"166",1,"Team WE","Red",0.5,0.4935,0.439,0.5111,0.4813,0.581536056536057,0.4,0.4,0.666666666666667,0.5
"167",1,"Misfits","Blue",0.5,0.4778,0.584,0.5008,0.5476,0.459576138147567,0.5,0.459576138147567,0.5,0.459576138147567
"168",0,"Team SoloMid","Red",0.5,0.5222,0.416,0.4992,0.4524,0.510427920615177,0.375,0.5,0.5,0.681818181818182
"169",1,"AHQ e-Sports Club","Blue",0.4607,0.5222,0.4843,0.5111,0.5187,0.833333333333333,0.6,0.756756756756757,0.5,0.769230769230769
"170",0,"SK Telecom T1","Red",0.5393,0.4778,0.5157,0.4889,0.4813,0.666666666666667,0.684210526315789,0.461538461538462,0.666666666666667,0.5
"171",1,"EDward Gaming","Blue",0.5,0.5394,0.5657,0.4952,0.4813,0.774193548387097,0.5,0.5,1,0.777777777777778
"172",0,"Cloud9","Red",0.5,0.4606,0.4343,0.5048,0.5187,0.670798317069138,0.563227810019254,0.5,0.5,0.625
"173",0,"AHQ e-Sports Club","Blue",0.4656,0.4796,0.4214,0.482,0.5187,0.75,0.6,0.75,0.5,0.769230769230769
"174",1,"EDward Gaming","Red",0.5344,0.5204,0.5786,0.518,0.4813,0.774193548387097,0.5,0.5,0.5,0.777777777777778
"175",0,"Cloud9","Blue",0.5344,0.5011,0.4298,0.4738,0.5187,0.515151515151515,0,0.777777777777778,0.555555555555556,0.625
"176",1,"SK Telecom T1","Red",0.4656,0.4989,0.5702,0.5262,0.4813,0.6,0.714285714285714,0.9,0.791666666666667,0.5
"177",1,"Cloud9","Blue",0.4792,0.4525,0.5046,0.4656,0.5662,0.571428571428571,0.563227810019254,0.733333333333333,0.740740740740741,0.625
"178",0,"AHQ e-Sports Club","Red",0.5208,0.5475,0.4954,0.5344,0.4338,0.648148148148148,0.454545454545455,0.756756756756757,0.5,0.642857142857143
"179",1,"SK Telecom T1","Blue",0.4692,0.5222,0.5004,0.5165,0.5187,0.666666666666667,0.6,0.66,0.791666666666667,0.5
"180",0,"EDward Gaming","Red",0.5308,0.4778,0.4996,0.4835,0.4813,0.774193548387097,0.702702702702703,0.5,0.5,0.777777777777778
